FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.6557465,POINT (16.37974718169737 48.216132362581625),6557465,,2,Karmeliterplatz 5,6,0
FAHRRADABSTELLANLAGEOGD.6557466,POINT (16.338921906832578 48.2105237357198),6557466,,16,Lerchenfelder Gürtel ggü. 51,8,0
FAHRRADABSTELLANLAGEOGD.6557467,POINT (16.357228877577704 48.20288576791354),6557467,,7,Karl-Schweighofer-Gasse 14,6,0
FAHRRADABSTELLANLAGEOGD.6557468,POINT (16.360688273784287 48.20179637600655),6557468,,6,Mariahilfer Straße 1B,4,0
FAHRRADABSTELLANLAGEOGD.6557469,POINT (16.360554392888233 48.2019115817206),6557469,,7,Mariahilfer Straße 2,4,0
FAHRRADABSTELLANLAGEOGD.6557470,POINT (16.359208661755506 48.201012379284116),6557470,,6,Mariahilfer Straße 17,4,0
FAHRRADABSTELLANLAGEOGD.6557471,POINT (16.359170553404894 48.20114447500998),6557471,,7,Mariahilfer Straße 12-16,4,0
FAHRRADABSTELLANLAGEOGD.6557472,POINT (16.356649503704674 48.200572151179905),6557472,,7,Mariahilfer Straße 22-24,6,0
FAHRRADABSTELLANLAGEOGD.6557473,POINT (16.357132995705584 48.20054408503144),6557473,,6,Mariahilfer Straße 31,4,0
FAHRRADABSTELLANLAGEOGD.6557474,POINT (16.355495743883974 48.20014180120294),6557474,,6,Mariahilfer Straße 41-43,4,0
FAHRRADABSTELLANLAGEOGD.6557475,POINT (16.355409383854266 48.200259749370524),6557475,,7,Mariahilfer Straße 26-30,4,0
FAHRRADABSTELLANLAGEOGD.6557476,POINT (16.353728803385614 48.19959827342488),6557476,,6,Mariahilfer Straße 53,4,0
FAHRRADABSTELLANLAGEOGD.6557477,POINT (16.351696492614316 48.19902727854273),6557477,,7,Mariahilfer Straße 60,4,0
FAHRRADABSTELLANLAGEOGD.6557478,POINT (16.351790792251332 48.19891541598096),6557478,,6,Mariahilfer Straße 65,4,0
FAHRRADABSTELLANLAGEOGD.6557479,POINT (16.352137099984436 48.199042886059516),6557479,,6,Mariahilfer Straße 61,2,0
FAHRRADABSTELLANLAGEOGD.6557480,POINT (16.350966106128617 48.198742067436676),6557480,,7,Mariahilfer Straße 62,4,0
FAHRRADABSTELLANLAGEOGD.6557481,POINT (16.36477642805926 48.22709228897448),6557481,,9,Friedensbrücke,6,0
FAHRRADABSTELLANLAGEOGD.6557482,POINT (16.343093677482173 48.20382827798366),6557482,,7,Schottenfeldgasse 69,4,0
FAHRRADABSTELLANLAGEOGD.6557483,POINT (16.41219247728986 48.25368695842601),6557483,,21,Donaufelder Straße 34,8,0
FAHRRADABSTELLANLAGEOGD.6557484,POINT (16.381676832318547 48.176119425560245),6557484,,10,Pernerstorfergasse 8,6,0
FAHRRADABSTELLANLAGEOGD.6557485,POINT (16.34902301213047 48.19322843170158),6557485,,6,Hirschengasse 1,6,0
FAHRRADABSTELLANLAGEOGD.6557486,POINT (16.34003760144486 48.19346053280783),6557486,,6,Kurzgasse 4,4,0
FAHRRADABSTELLANLAGEOGD.6557487,POINT (16.342932252379885 48.19527695730995),6557487,,6,Stumpergasse 57,8,0
FAHRRADABSTELLANLAGEOGD.6557488,POINT (16.390254546683288 48.197663715653796),6557488,,3,Dannebergplatz ggü. 16,6,0
